Iteration 0, D_loss = 1.3577,G_loss = 0.7575,train acc = 0.1131, test acc = 0.0938,best acc = 0.0938,lr = 0.00030000 
Iteration 1, D_loss = 1.1196,G_loss = 1.3285,train acc = 0.1073, test acc = 0.1051,best acc = 0.1051,lr = 0.00030000 
Iteration 2, D_loss = 1.1870,G_loss = 1.1996,train acc = 0.0939, test acc = 0.1001,best acc = 0.1051,lr = 0.00030000 
Iteration 3, D_loss = 1.2045,G_loss = 1.1714,train acc = 0.0850, test acc = 0.0746,best acc = 0.1051,lr = 0.00030000 
Iteration 4, D_loss = 1.0569,G_loss = 1.7822,train acc = 0.0756, test acc = 0.0882,best acc = 0.1051,lr = 0.00030000 
Iteration 5, D_loss = 1.0147,G_loss = 1.9265,train acc = 0.0735, test acc = 0.0881,best acc = 0.1051,lr = 0.00030000 
Iteration 6, D_loss = 0.9454,G_loss = 2.4870,train acc = 0.0834, test acc = 0.0977,best acc = 0.1051,lr = 0.00030000 
Iteration 7, D_loss = 0.9121,G_loss = 2.1737,train acc = 0.0879, test acc = 0.0726,best acc = 0.1051,lr = 0.00030000 
Iteration 8, D_loss = 0.8605,G_loss = 2.4129,train acc = 0.0865, test acc = 0.0776,best acc = 0.1051,lr = 0.00030000 
Iteration 9, D_loss = 0.8309,G_loss = 2.4189,train acc = 0.0815, test acc = 0.0766,best acc = 0.1051,lr = 0.00030000 
Iteration 10, D_loss = 0.9429,G_loss = 1.9221,train acc = 0.0811, test acc = 0.0701,best acc = 0.1051,lr = 0.00030000 
Iteration 11, D_loss = 0.8444,G_loss = 2.2519,train acc = 0.0832, test acc = 0.0829,best acc = 0.1051,lr = 0.00030000 
Iteration 12, D_loss = 0.7868,G_loss = 2.4851,train acc = 0.0874, test acc = 0.0774,best acc = 0.1051,lr = 0.00030000 
Iteration 13, D_loss = 0.8623,G_loss = 2.2489,train acc = 0.0866, test acc = 0.0748,best acc = 0.1051,lr = 0.00030000 
Iteration 14, D_loss = 0.8291,G_loss = 2.2672,train acc = 0.0906, test acc = 0.0741,best acc = 0.1051,lr = 0.00030000 
Iteration 15, D_loss = 0.8317,G_loss = 2.3133,train acc = 0.0915, test acc = 0.0936,best acc = 0.1051,lr = 0.00030000 
Iteration 16, D_loss = 0.8409,G_loss = 2.2730,train acc = 0.0825, test acc = 0.0935,best acc = 0.1051,lr = 0.00030000 
Iteration 17, D_loss = 0.8855,G_loss = 2.1206,train acc = 0.0843, test acc = 0.0967,best acc = 0.1051,lr = 0.00030000 
Iteration 18, D_loss = 0.9538,G_loss = 1.9623,train acc = 0.0781, test acc = 0.0650,best acc = 0.1051,lr = 0.00030000 
Iteration 19, D_loss = 0.9017,G_loss = 2.0847,train acc = 0.0959, test acc = 0.0866,best acc = 0.1051,lr = 0.00030000 
Iteration 20, D_loss = 0.8804,G_loss = 2.1614,train acc = 0.0858, test acc = 0.0919,best acc = 0.1051,lr = 0.00030000 
Iteration 21, D_loss = 0.9299,G_loss = 2.0786,train acc = 0.0939, test acc = 0.0703,best acc = 0.1051,lr = 0.00030000 
Iteration 22, D_loss = 0.8943,G_loss = 2.1275,train acc = 0.0869, test acc = 0.0846,best acc = 0.1051,lr = 0.00030000 
Iteration 23, D_loss = 0.9867,G_loss = 1.9832,train acc = 0.0922, test acc = 0.0943,best acc = 0.1051,lr = 0.00030000 
Iteration 24, D_loss = 0.9193,G_loss = 2.0324,train acc = 0.0879, test acc = 0.0900,best acc = 0.1051,lr = 0.00030000 
Iteration 25, D_loss = 0.8875,G_loss = 2.1283,train acc = 0.0849, test acc = 0.0802,best acc = 0.1051,lr = 0.00030000 
